Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric",147.320000,-36.830000,90.000000,Top
"C2","2","C_0805_2012Metric",151.765000,-74.930000,90.000000,Top
"C3","0.1uF","C_0805_2012Metric",146.685000,-63.500000,180.000000,Top
"C4","0.1uF","C_0805_2012Metric",152.400000,-67.310000,0.000000,Top
"C5","0.1uF","C_0805_2012Metric",142.875000,-76.200000,0.000000,Top
"C6","0.1uF","C_0805_2012Metric",139.065000,-66.675000,180.000000,Top
"C7","0.1uF","C_0805_2012Metric",146.685000,-76.200000,180.000000,Top
"C8","22pF","C_0805_2012Metric",138.430000,-57.150000,180.000000,Top
"C9","22pF","C_0805_2012Metric",138.430000,-55.118000,0.000000,Top
"C10","1uF","C_0805_2012Metric",152.400000,-69.850000,0.000000,Top
"D1","D_Small","D_SOD-123",128.905000,-27.940000,180.000000,Top
"D2","D_Small","D_SOD-123",128.905000,-31.750000,180.000000,Top
"D3","D_Small","D_SOD-123",128.905000,-35.560000,180.000000,Top
"D4","D_Small","D_SOD-123",128.905000,-39.370000,180.000000,Top
"D5","D_Small","D_SOD-123",128.905000,-43.180000,180.000000,Top
"D6","D_Small","D_SOD-123",128.905000,-47.625000,180.000000,Top
"D7","D_Small","D_SOD-123",128.905000,-51.435000,180.000000,Top
"D8","D_Small","D_SOD-123",128.905000,-55.245000,180.000000,Top
"D9","D_Small","D_SOD-123",128.905000,-59.055000,180.000000,Top
"D10","D_Small","D_SOD-123",128.905000,-62.865000,180.000000,Top
"D11","D_Small","D_SOD-123",128.905000,-67.310000,180.000000,Top
"D12","D_Small","D_SOD-123",128.905000,-71.120000,180.000000,Top
"D13","D_Small","D_SOD-123",128.905000,-74.930000,180.000000,Top
"D14","D_Small","D_SOD-123",128.905000,-78.740000,180.000000,Top
"D15","D_Small","D_SOD-123",128.905000,-82.550000,180.000000,Top
"F1","500mA","Fuse_1206_3216Metric",144.780000,-35.560000,-90.000000,Top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-14",140.960000,-29.272500,180.000000,Top
"R1","5.1k","R_0805_2012Metric",137.795000,-35.837500,90.000000,Top
"R2","22","R_0805_2012Metric",140.335000,-35.837500,-90.000000,Top
"R3","22","R_0805_2012Metric",142.367000,-35.837500,-90.000000,Top
"R4","5.1k","R_0805_2012Metric",147.320000,-33.020000,90.000000,Top
"R5","10k","R_0805_2012Metric",149.860000,-64.135000,-90.000000,Top
"R6","10k","R_0805_2012Metric",139.700000,-74.930000,-90.000000,Top
"SW_R1","SW_Push","SW_SPST_SKQG_WithStem",147.955000,-54.610000,90.000000,Top
"U1","ATmega32U4-M","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",145.430000,-70.500000,180.000000,Top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",138.430000,-60.325000,90.000000,Top
