"Id";"Designator";"Footprint";"Quantity";"Comment";"Supplier and ref";
1;"R3,R2";"R_0805_2012Metric";2;"22";;;
2;"R6,R5";"R_0805_2012Metric";2;"10k";;;
3;"C1";"C_0805_2012Metric";1;"10uF";;;
4;"SW1,SW6,SW2,SW5,SW14,SW8,SW9,SW15,SW12,SW13,SW4,SW11,SW10,SW7,SW3";"SW_MX_1u";15;"MX_SW_solder";;;
5;"C9,C8";"C_0805_2012Metric";2;"22pF";;;
6;"C2";"C_0805_2012Metric";1;"2";;;
7;"C5,C3,C6,C7,C4";"C_0805_2012Metric";5;"0.1uF";;;
8;"D8,D9,D15,D13,D4,D11,D6,D12,D14,D5,D10,D1,D2,D3,D7";"D_SOD-123";15;"D_Small";;;
9;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
10;"SW_R1";"SW_SPST_SKQG_WithStem";1;"SW_Push";;;
11;"U1";"QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm";1;"ATmega32U4-M";;;
12;"R1,R4";"R_0805_2012Metric";2;"5.1k";;;
13;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-14";1;"USB_C_Receptacle_USB2.0";;;
14;"C10";"C_0805_2012Metric";1;"1uF";;;
15;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
