Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10uF,
C10,0805,1,1uF,
C2,0805,1,2,
C3,0805,1,0.1uF,
C4,0805,1,0.1uF,
C5,0805,1,0.1uF,
C6,0805,1,0.1uF,
C7,0805,1,0.1uF,
C8,0805,1,22pF,
C9,0805,1,22pF,
"D1, D10, D11, D12, D13, D14, D15, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,15,D_Small,
F1,1206,1,500mA,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-14,1,USB_C_Receptacle_USB2.0,
R1,0805,1,5.1k,
R2,0805,1,22,
R3,0805,1,22,
R4,0805,1,5.1k,
R5,0805,1,10k,
R6,0805,1,10k,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_MX_1u,15,MX_SW_solder,
SW_R1,SW_SPST_SKQG_WithStem,1,SW_Push,
U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,1,ATmega32U4-M,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
