Designator,Mid X,Mid Y,Rotation,Layer
C1,147.32,-36.83,90.0,top
C10,152.4,-69.85,0.0,top
C2,151.765,-74.93,90.0,top
C3,146.685,-63.5,180.0,top
C4,152.4,-67.31,0.0,top
C5,142.875,-76.2,0.0,top
C6,139.065,-66.675,180.0,top
C7,146.685,-76.2,180.0,top
C8,138.43,-57.15,180.0,top
C9,138.43,-55.118,0.0,top
D1,128.905,-27.94,180.0,top
D10,128.905,-62.865,180.0,top
D11,128.905,-67.31,180.0,top
D12,128.905,-71.12,180.0,top
D13,128.905,-74.93,180.0,top
D14,128.905,-78.74,180.0,top
D15,128.905,-82.55,180.0,top
D2,128.905,-31.75,180.0,top
D3,128.905,-35.56,180.0,top
D4,128.905,-39.37,180.0,top
D5,128.905,-43.18,180.0,top
D6,128.905,-47.625,180.0,top
D7,128.905,-51.435,180.0,top
D8,128.905,-55.245,180.0,top
D9,128.905,-59.055,180.0,top
F1,144.78,-35.56,270.0,top
J1,140.96,-29.2725,180.0,top
R1,137.795,-35.8375,90.0,top
R2,140.335,-35.8375,270.0,top
R3,142.367,-35.8375,270.0,top
R4,147.32,-33.02,90.0,top
R5,149.86,-64.135,270.0,top
R6,139.7,-74.93,270.0,top
SW_R1,147.955,-54.61,90.0,top
U1,145.43,-70.5,180.0,top
Y1,138.43,-60.325,90.0,top
